company_name,stock_code
SRI TRANG AGRO-INDUSTRY PCL,NC2
FRASERS COMMERCIAL TRUST,ND8U
RECLAIMS GLOBAL LTD,NEX
JUBILEE INDUSTRIES HOLDINGS LTD,NHD
UE E&C LTD,NI3
DYNA-MAC HOLDINGS LTD,NO4
RAFFLES EDUCATION CORPORATION LTD,NR7
HUTCHISON PORT HOLDINGS TRUST,NS8U
OSSIA INTERNATIONAL LTD,O08
FAR EAST ORCHARD LTD,O10
OSIM INTERNATIONAL LTD,O23
AVIC INTERNATIONAL MARITIME HOLDING LTD,O2I
CHINASING INVESTMENT HLDG LTD,O2R
OLAM INTERNATIONAL LTD,O32
OVERSEA-CHINESE BANKING CORPORATION LTD,O39
AIMS APAC REIT,O5RU
PARKSON RETAIL ASIA LTD,O9E
FORTRESS MINERALS LTD,OAJ
VIVIDTHREE HOLDINGS LTD,OMK
MEDINEX LTD,OTX
CENTURION CORPORATION LTD,OU8
SHENG SIONG GROUP LTD,OV8
PRIME US REIT,OXMU
PROPNEX LTD,OYY
POH TIONG CHOON LOGISTICS,P01
PEOPLE'S FOOD HOLDINGS LIMITED,P05
PCA TECHNOLOGY LIMITED,P06
PACIFIC ANDES RESOURCES DEVELOPMENT LTD,P11
PACIFIC CENTURY REGIONAL DEVELOPMENTS,P15
PCI ,P19
PERTAMA HOLDINGS LIMITED,P22
POPULAR HLDGS LTD,P29
UNITED FIBER SYSTEM LTD (CURRENTLY GOLDEN ENERGY & RESOURCES LTD ),P30
DELFI LTD,P34
PAN HONG HOLDINGS GROUP LTD,P36
STARHILL GLOBAL REIT,P40U
PACIFIC HEALTHCARE HLDGS LTD,P47
PAN-UNITED CORPORATION LTD.,P52
CHINA KANGDA FOOD COMPANY LTD,P74
CORDLIFE GROUP LTD,P8A
BUMITAMA AGRI LTD,P8Z
CIVMEC LTD,P9D
GLOBAL PREMIUM HOTELS,P9J
TA CORPORATION LTD,PA3
HATTEN LAND LTD,PH0
QAF LTD,Q01
LEY CHOON GROUP HOLDINGS LTD,Q0X
ASCENDAS HOSPITALITY TRUST,Q1P
FAR EAST HOSPITALITY TRUST,Q5T
SURFACE MOUNT TECHNOLOGY (HLDGS) LTD,Q7Q
Q & M DENTAL GROUP (SINGAPORE) LTD,QC7
SWEE HONG LIMITED,QF6
METECH INTERNATIONAL ,QG1
GLOBAL INVACOM GROUP LTD,QS9
ROTARY ENGINEERING ,R07
RAMBA ENERGY LIMITED,R14
TRIYARDS HLDGS,RC5
INCREDIBLE HOLDINGS,RDR
COURTS ASIA ,RE2
GEO ENERGY RESOURCES LTD,RE4
RHT HEALTH TRUST,RF1U
AMOS GROUP LTD,RF7
OVERSEAS EDUCATION LTD,RQ1
MAPLETREE NORTH ASIA COMM TRUST,RW0U
SIM LIAN GROUP LTD,S05
SINGAPORE POST LTD,S08
SUPER GROUP,S10
SINGAPORE SHIPPING CORPORATION LTD,S19
THE STRAITS TRADING COMPANY LIMITED,S20
SINGAPURA FINANCE LTD,S23
STATS CHIPPAC LTD,S24
STAMFORD TYRES CORPORATION LTD,S29
SINGAPORE LAND LTD,S30
SING INVESTMENTS & FINANCE LTD,S35
SUNRAY HOLDINGS LIMITED,S38
OKH GLOBAL LTD,S3N
HONG LEONG FINANCE LTD,S41
ENGRO CORPORATION LIMITED,S44
SAN TEH LTD,S46
SUPERIOR MULTI-PACKAGING LTD,S47
SUPERBOWL HOLDINGS LIMITED,S48
SINGAPORE REINSURANCE COR LTD,S49
SEMBCORP MARINE LTD,S51
SMRT CORP LTD,S53
SAMUDERA SHIPPING LINE LTD,S56
SURFACE MOUNT TECH (HLDGS) LTD,S57
SATS LTD,S58
SIA ENGINEERING CO,S59
SBS TRANSIT LTD,S61
SINGAPORE TECHNOLOGIES ENGINEERING ,S63
SINGAPORE EXCHANGE LTD,S68
SERIAL SYSTEM LTD,S69
CROESUS RETAIL TRUST,S6NU
SUNRIGHT LTD,S71
STRATECH SYSTEMS LTD (CURRENTLY THE STRATECH GROUP),S73
ASIAN PAY TELEVISION TRUST,S7OU
SOILBUILD CONSTRUCTION GROUP LTD.,S7P
STRACO CORPORATION LIMITED,S85
AMCORP GLOBAL LTD,S9B
MEGROUP LTD,SJY
KRISENERGY LTD,SK3
SPH REIT,SK6U
OUE HOSPITALITY TRUST,SK7
MARCO POLO MARINE LTD,SLY
SILKROAD NICKEL LTD,STP
SOILBUILD BUSINESS SPACE REIT,SV3U
TAT HONG HLDGS ,T03
TT INTERNATIONAL LTD,T09
TAT SENG PACKAGING GROUP LTD,T12
RH PETROGAS LIMITED,T13
TIANJIN ZHONG XIN PHARM GROUP,T14
CHINA DAIRY GROUP LTD,T16
TRANSCORP HOLDINGS LTD,T19
SCINTRONIX CORP LTD,T20
TUAN SING HOLDINGS LTD,T24
TSIT WING INTL HOLDINGS LTD,T26
TELEDATA (S) LTD,T28
SINGAPORE PRESS HOLDINGS LTD,T39
TELECHOICE INTERNATIONAL LIMITED,T41
CHINA AUTO ELECTRONICS GROUP LTD,T42
TECHCOMP (HLDGS) LTD,T43
SINO GRANDNESS FOOD IND GP LTD,T4B
COMPACT METAL INDUSTRIES ,T4E
TIH LIMITED,T55
SHANGHAI ASIA HOLDINGS LIMITED,T57
VALUEMAX GROUP LTD,T6I
SUNTEC REAL ESTATE INV TRUST,T82U
VIVA INDUSTRIAL TRUST,T8B
SAIZEN REIT,T8JU
PACIFIC RADIANCE LTD.,T8V
CREDIT BUREAU ASIA LTD,TCU
FRASERS PROPERTY LTD,TQ5
OUE COMMERCIAL REIT,TS0U
UNITED ENGINEERS LTD,U04
SINGAPORE LAND GROUP LTD,U06
UNITED INTL SECURITIES LTD,U07
AVARGA LTD,U09
UOB-KAY HIAN HOLDINGS LTD,U10
UNITED OVERSEAS BANK LTD,U11
UNITED OVERSEAS INSURANCE LTD,U13
UOL GROUP LTD,U14
PACC OFFSHORE SERVICES HOLDING LTD,U6C
SARINE TECHNOLOGIES LTD,U77
SEMBCORP INDUSTRIES LTD,U96
CHINA EVERBRIGHT WATER LTD,U9E
IREIT GLOBAL,UD1U
JAPFA LTD,UD2
PTERIS GLOBAL LTD,UD3
SIM LEISURE GROUP LTD.,URR
REGAL INTERNATIONAL GROUP LTD.,UV1
VICOM LTD,V01
VENTURE CORPORATION LTD,V03
V2Y CORPORATION LTD,V2Y
METECH INTERNATIONAL LTD,V3M
Beverly JCG Limited,VFP
KOUFU GROUP LTD,VL6
WBL CORPORATION LIMITED,W01
WING TAI HLDGS LTD,W05
VALLIANZ HOLDINGS LTD,WPC
SINOPIPE HLDGS LTD,X06
KTMG LTD,XCF
ARA US HOSPITALITY TRUST,XZL
YEO HIAP SENG LTD,Y03
GREEN BUILD TECHNOLOGY LTD,Y06
ANAN INTERNATIONAL LIMITED,Y35
SINGAPORE MYANMAR INVESTCO LTD,Y45
THAI BEVERAGE PUBLIC CO LTD,Y92
ZAGRO ASIA LTD,Z01
CHINA POWERPLUS LTD,Z02
YANLORD LAND GROUP LTD,Z25
YOMA STRATEGIC HOLDINGS LTD.,Z59
SINGAPORE TELECOMMUNICATIONS LTD,Z74
SYNEAR FOOD HOLDINGS LIMITED,Z75
